problem_id,title_zh,dataset_id,difficulty,difficulty_rank,completed_run_count,answer_ac_ever,strict_success_ever,answer_ac_run_id,strict_success_run_id,latest_completed_run_id,latest_answer_correct,latest_process_correct,latest_strict_success,latest_stop_reason,manifest_path
csps2021_senior_bracket,括号序列,csps2021_senior,提高+/省选−,6,1,True,True,run_XxizWkxoD2IJCvM,run_XxizWkxoD2IJCvM,run_XxizWkxoD2IJCvM,True,True,True,COMPLETED,data/manifests/csps2021_senior/csps2021_senior_bracket.json
csps2021_senior_palin,回文,csps2021_senior,普及+/提高−,4,1,False,False,,,run_4J2fCnZb2kPE91LY,False,False,False,MAX_ROUNDS,data/manifests/csps2021_senior/csps2021_senior_palin.json
csps2021_senior_traffic,交通规划,csps2021_senior,省选/NOI−,7,1,False,False,,,run_RZhgOq4sIca4uq9E,False,False,False,STALLED,data/manifests/csps2021_senior/csps2021_senior_traffic.json
csps2024_senior_arena,擂台游戏,csps2024_senior,NOI/NOI+/CTS,8,1,False,False,,,run_JHKyEG3XgusSfgZn,False,False,False,STALLED,data/manifests/csps2024_senior/csps2024_senior_arena.json
csps2024_senior_color,染色,csps2024_senior,提高,5,1,True,False,run_AIB1sepiUBYipqs6,,run_AIB1sepiUBYipqs6,True,False,False,STALLED,data/manifests/csps2024_senior/csps2024_senior_color.json
csps2024_senior_detect,超速检测,csps2024_senior,普及+/提高−,4,1,True,True,run_ogSNVlvSTdibvV9T,run_ogSNVlvSTdibvV9T,run_ogSNVlvSTdibvV9T,True,True,True,COMPLETED,data/manifests/csps2024_senior/csps2024_senior_detect.json
csps2024_senior_duel,决斗,csps2024_senior,普及−,2,1,True,True,run_DkeCIJ2mX9q7Lnl,run_DkeCIJ2mX9q7Lnl,run_DkeCIJ2mX9q7Lnl,True,True,True,COMPLETED,data/manifests/csps2024_senior/csps2024_senior_duel.json
defense,保卫王国,noip2018,省选/NOI−,7,3,True,True,run_hrFicZzSxzEVtwNm,run_ndO7vwqrIJ3Ljjsi,run_Uqj8Z6xbzUlhxkkF,False,False,False,MAX_ROUNDS,data/manifests/noip2018/defense.json
game,填数游戏,noip2018,NOI/NOI+/CTS,8,4,False,False,,,run_Qz4NGzzFU9H4ai5V,False,True,False,STALLED,data/manifests/noip2018/game.json
money,货币系统,noip2018,普及+/提高−,4,4,True,True,run_0RBbx1H0DHLxSwcm,run_0RBbx1H0DHLxSwcm,run_rVw9lQjtzswivzbX,True,True,True,COMPLETED,data/manifests/noip2018/money.json
noip2014_junior_count,珠心算测验,noip2014_junior,普及−,2,1,True,True,run_0iYRSc1et0SGm6P9,run_0iYRSc1et0SGm6P9,run_0iYRSc1et0SGm6P9,True,True,True,COMPLETED,data/manifests/noip2014_junior/noip2014_junior_count.json
noip2014_junior_matrix,螺旋矩阵,noip2014_junior,普及,3,1,True,True,run_0K78TZRaJK4QJ3e,run_0K78TZRaJK4QJ3e,run_0K78TZRaJK4QJ3e,True,True,True,COMPLETED,data/manifests/noip2014_junior/noip2014_junior_matrix.json
noip2014_junior_ratio,比例简化,noip2014_junior,普及−,2,1,True,True,run_zcY34OyBRSM0r7I,run_zcY34OyBRSM0r7I,run_zcY34OyBRSM0r7I,True,True,True,COMPLETED,data/manifests/noip2014_junior/noip2014_junior_ratio.json
noip2014_junior_submatrix,子矩阵,noip2014_junior,提高,5,1,True,True,run_mDNK1c74NSA1fQql,run_mDNK1c74NSA1fQql,run_mDNK1c74NSA1fQql,True,True,True,COMPLETED,data/manifests/noip2014_junior/noip2014_junior_submatrix.json
noip2014_senior_bird,飞扬的小鸟,noip2014_senior,普及+/提高−,4,1,True,True,run_PGJATAPTV12qapFz,run_PGJATAPTV12qapFz,run_PGJATAPTV12qapFz,True,True,True,COMPLETED,data/manifests/noip2014_senior/noip2014_senior_bird.json
noip2014_senior_equation,解方程,noip2014_senior,普及+/提高−,4,1,True,True,run_rMfFaEcD2rmwCnZ,run_rMfFaEcD2rmwCnZ,run_rMfFaEcD2rmwCnZ,True,True,True,COMPLETED,data/manifests/noip2014_senior/noip2014_senior_equation.json
noip2014_senior_link,联合权值,noip2014_senior,普及,3,1,True,True,run_61Vh3ut1VDmrG74,run_61Vh3ut1VDmrG74,run_61Vh3ut1VDmrG74,True,True,True,COMPLETED,data/manifests/noip2014_senior/noip2014_senior_link.json
noip2014_senior_road,寻找道路,noip2014_senior,普及,3,1,True,True,run_VQxLmXCpVXxHywfR,run_VQxLmXCpVXxHywfR,run_VQxLmXCpVXxHywfR,True,True,True,COMPLETED,data/manifests/noip2014_senior/noip2014_senior_road.json
noip2014_senior_rps,生活大爆炸版石头剪刀布,noip2014_senior,普及−,2,1,True,True,run_v1Mdcn5kOf9gYk92,run_v1Mdcn5kOf9gYk92,run_v1Mdcn5kOf9gYk92,True,True,True,COMPLETED,data/manifests/noip2014_senior/noip2014_senior_rps.json
noip2014_senior_wireless,无线网络发射器选址,noip2014_senior,普及−,2,1,True,True,run_rC009fgXKZK0ginn,run_rC009fgXKZK0ginn,run_rC009fgXKZK0ginn,True,True,True,COMPLETED,data/manifests/noip2014_senior/noip2014_senior_wireless.json
noip2015_junior_coin,金币,noip2015_junior,入门,1,1,True,True,run_25X8tgq2qpxb0Yyc,run_25X8tgq2qpxb0Yyc,run_25X8tgq2qpxb0Yyc,True,True,True,COMPLETED,data/manifests/noip2015_junior/noip2015_junior_coin.json
noip2015_junior_mine,扫雷游戏,noip2015_junior,入门,1,1,True,True,run_Qszj6Td6x2mtolG,run_Qszj6Td6x2mtolG,run_Qszj6Td6x2mtolG,True,True,True,COMPLETED,data/manifests/noip2015_junior/noip2015_junior_mine.json
noip2015_junior_salesman,推销员,noip2015_junior,提高,5,1,True,False,run_lJID6kaMN6PY4F,,run_lJID6kaMN6PY4F,True,False,False,MAX_ROUNDS,data/manifests/noip2015_junior/noip2015_junior_salesman.json
noip2015_junior_sum,求和,noip2015_junior,普及+/提高−,4,1,True,True,run_ViFvJ38WqBQd6vF,run_ViFvJ38WqBQd6vF,run_ViFvJ38WqBQd6vF,True,True,True,COMPLETED,data/manifests/noip2015_junior/noip2015_junior_sum.json
noip2015_senior_landlords,斗地主,noip2015_senior,提高,5,1,True,False,run_x9TrdvwNh7zDpLd,,run_x9TrdvwNh7zDpLd,True,False,False,STALLED,data/manifests/noip2015_senior/noip2015_senior_landlords.json
noip2015_senior_magic,神奇的幻方,noip2015_senior,普及−,2,1,True,True,run_0eXr027v9hiob9R,run_0eXr027v9hiob9R,run_0eXr027v9hiob9R,True,True,True,COMPLETED,data/manifests/noip2015_senior/noip2015_senior_magic.json
noip2015_senior_message,信息传递,noip2015_senior,普及,3,1,True,True,run_pIvid6bvH23GS,run_pIvid6bvH23GS,run_pIvid6bvH23GS,True,True,True,COMPLETED,data/manifests/noip2015_senior/noip2015_senior_message.json
noip2015_senior_stone,跳石头,noip2015_senior,普及,3,1,True,True,run_v8gEKqOpVkcw7F12,run_v8gEKqOpVkcw7F12,run_v8gEKqOpVkcw7F12,True,True,True,COMPLETED,data/manifests/noip2015_senior/noip2015_senior_stone.json
noip2015_senior_substring,子串,noip2015_senior,普及+/提高−,4,1,True,True,run_UKSNvkuV5T1IOmGH,run_UKSNvkuV5T1IOmGH,run_UKSNvkuV5T1IOmGH,True,True,True,COMPLETED,data/manifests/noip2015_senior/noip2015_senior_substring.json
noip2015_senior_transport,运输计划,noip2015_senior,提高,5,1,True,True,run_1daD1gXeoRNWm57J,run_1daD1gXeoRNWm57J,run_1daD1gXeoRNWm57J,True,True,True,COMPLETED,data/manifests/noip2015_senior/noip2015_senior_transport.json
noip2016_junior_date,回文日期,noip2016_junior,普及−,2,1,True,True,run_vcHjYi4YneuEcoc,run_vcHjYi4YneuEcoc,run_vcHjYi4YneuEcoc,True,True,True,COMPLETED,data/manifests/noip2016_junior/noip2016_junior_date.json
noip2016_junior_magic,魔法阵,noip2016_junior,普及+/提高−,4,1,True,True,run_aI26zu6L1yVpXpr,run_aI26zu6L1yVpXpr,run_aI26zu6L1yVpXpr,True,True,True,COMPLETED,data/manifests/noip2016_junior/noip2016_junior_magic.json
noip2016_junior_pencil,买铅笔,noip2016_junior,入门,1,1,True,True,run_38hzQ4lU1qvvdKDt,run_38hzQ4lU1qvvdKDt,run_38hzQ4lU1qvvdKDt,True,True,True,COMPLETED,data/manifests/noip2016_junior/noip2016_junior_pencil.json
noip2016_junior_port,海港,noip2016_junior,普及,3,1,True,True,run_0IsBDJa58dKOJfHi,run_0IsBDJa58dKOJfHi,run_0IsBDJa58dKOJfHi,True,True,True,COMPLETED,data/manifests/noip2016_junior/noip2016_junior_port.json
noip2016_senior_angrybirds,愤怒的小鸟,noip2016_senior,提高,5,1,False,False,,,run_02P4gM2cIubohU,False,False,False,STALLED,data/manifests/noip2016_senior/noip2016_senior_angrybirds.json
noip2016_senior_earthworm,蚯蚓,noip2016_senior,提高,5,1,True,True,run_99cJxBllXGjBzo7B,run_99cJxBllXGjBzo7B,run_99cJxBllXGjBzo7B,True,True,True,COMPLETED,data/manifests/noip2016_senior/noip2016_senior_earthworm.json
noip2016_senior_problem,组合数问题,noip2016_senior,普及,3,1,True,True,run_6caACw1IUkzpoaOE,run_6caACw1IUkzpoaOE,run_6caACw1IUkzpoaOE,True,True,True,COMPLETED,data/manifests/noip2016_senior/noip2016_senior_problem.json
noip2016_senior_running,天天爱跑步,noip2016_senior,省选/NOI−,7,1,True,False,run_h8aOaqaYevsrDVh2,,run_h8aOaqaYevsrDVh2,True,False,False,STALLED,data/manifests/noip2016_senior/noip2016_senior_running.json
noip2016_senior_toy,玩具谜题,noip2016_senior,普及−,2,1,True,True,run_VnsdgSApQFhN5aR9,run_VnsdgSApQFhN5aR9,run_VnsdgSApQFhN5aR9,True,True,True,COMPLETED,data/manifests/noip2016_senior/noip2016_senior_toy.json
noip2020_senior_string,字符串匹配,noip2020_senior,提高+/省选−,6,1,True,True,run_Y7Ys6c6YegTHoMdR,run_Y7Ys6c6YegTHoMdR,run_Y7Ys6c6YegTHoMdR,True,True,True,COMPLETED,data/manifests/noip2020_senior/noip2020_senior_string.json
noip2020_senior_walk,微信步数,noip2020_senior,省选/NOI−,7,1,True,False,run_Zz2mU8cRtRzOpZIt,,run_Zz2mU8cRtRzOpZIt,True,False,False,STALLED,data/manifests/noip2020_senior/noip2020_senior_walk.json
noip2020_senior_water,排水系统,noip2020_senior,普及,3,1,True,True,run_8QdbRtXFl1h6BVSp,run_8QdbRtXFl1h6BVSp,run_8QdbRtXFl1h6BVSp,True,True,True,COMPLETED,data/manifests/noip2020_senior/noip2020_senior_water.json
noip2021_senior_chess,棋局,noip2021_senior,NOI/NOI+/CTS,8,1,False,False,,,run_6lM8esiB5J126bUv,False,False,False,STALLED,data/manifests/noip2021_senior/noip2021_senior_chess.json
noip2021_senior_number,报数,noip2021_senior,普及,3,1,True,True,run_D72h4ekEJFjHQTp,run_D72h4ekEJFjHQTp,run_D72h4ekEJFjHQTp,True,True,True,COMPLETED,data/manifests/noip2021_senior/noip2021_senior_number.json
noip2021_senior_sequence,数列,noip2021_senior,提高+/省选−,6,1,True,True,run_o8A7R6ftssPziSL,run_o8A7R6ftssPziSL,run_o8A7R6ftssPziSL,True,True,True,COMPLETED,data/manifests/noip2021_senior/noip2021_senior_sequence.json
noip2021_senior_variance,方差,noip2021_senior,省选/NOI−,7,1,True,False,run_F27Sx1IAz3npVTSt,,run_F27Sx1IAz3npVTSt,True,False,False,STALLED,data/manifests/noip2021_senior/noip2021_senior_variance.json
noip2022_senior_barrack,建造军营,noip2022_senior,提高+/省选−,6,1,True,True,run_NTDFmqoRKKpYRFY2,run_NTDFmqoRKKpYRFY2,run_NTDFmqoRKKpYRFY2,True,True,True,COMPLETED,data/manifests/noip2022_senior/noip2022_senior_barrack.json
noip2022_senior_match,比赛,noip2022_senior,省选/NOI−,7,1,False,False,,,run_qX6ogDciQmJJIav,False,False,False,STALLED,data/manifests/noip2022_senior/noip2022_senior_match.json
noip2022_senior_plant,种花,noip2022_senior,普及+/提高−,4,1,True,True,run_ftIlMKTJzO6eGym,run_ftIlMKTJzO6eGym,run_ftIlMKTJzO6eGym,True,True,True,COMPLETED,data/manifests/noip2022_senior/noip2022_senior_plant.json
road,铺设道路,noip2018,普及,3,7,True,True,run_7xCuFaUSouoX3XBx,run_7xCuFaUSouoX3XBx,run_Uzytk8n4cDblWHh,True,True,True,COMPLETED,data/manifests/noip2018/road.json
track,赛道修建,noip2018,提高,5,3,True,True,run_Dwq5kWBqPd8K3Tqb,run_Dwq5kWBqPd8K3Tqb,run_R9reSD2WJqZJHWd9,True,True,True,COMPLETED,data/manifests/noip2018/track.json
travel,旅行,noip2018,提高,5,4,True,True,run_UwgnmhO47m53w6DY,run_UwgnmhO47m53w6DY,run_2zlqYfQNpQr4tOSi,True,True,True,COMPLETED,data/manifests/noip2018/travel.json
